"Population","Treatment","KnockdownTime"
"Urban","LowCu",58.2269066922469
"Urban","LowCu",60.0797831070485
"Urban","LowCu",55.4503407087544
"Urban","LowCu",55.9120399521126
"Urban","LowCu",63.5354674680949
"Urban","LowCu",57.1975460409799
"Urban","LowCu",63.9708169386361
"Urban","LowCu",61.8747533698341
"Urban","LowCu",59.8628311328817
"Urban","LowCu",56.9876382729832
"Urban","LowCu",57.5147002900081
"Urban","LowCu",58.9549448244811
"Urban","LowCu",55.3851198087388
"Urban","LowCu",59.2333042636051
"Urban","LowCu",56.5501649018773
"Urban","LowCu",60.0369809030384
"Urban","LowCu",59.3310913777571
"Urban","LowCu",62.6633149437339
"Urban","LowCu",58.2235341603698
"Urban","LowCu",58.0328456442573
"Urban","LowCu",57.9524471333549
"Urban","LowCu",59.9524254218152
"Urban","LowCu",58.6721856439349
"Urban","LowCu",61.0576724983464
"Urban","LowCu",60.2195117468742
"Urban","LowCu",60.0214764011419
"Urban","LowCu",59.4371996681932
"Urban","LowCu",57.7028980634238
"Urban","LowCu",59.3368295377651
"Urban","LowCu",57.0492342375894
"Urban","HighCu",44.6871478735471
"Urban","HighCu",45.1855493574649
"Urban","HighCu",50.0358727325477
"Urban","HighCu",43.2675064041155
"Urban","HighCu",45.3901846253231
"Urban","HighCu",49.4540311360713
"Urban","HighCu",47.4418419040668
"Urban","HighCu",52.636664100551
"Urban","HighCu",46.1658597896154
"Urban","HighCu",46.956730537991
"Urban","HighCu",43.0904510833817
"Urban","HighCu",48.0611443203001
"Urban","HighCu",50.6752280405035
"Urban","HighCu",45.3817509502432
"Urban","HighCu",50.6701524895184
"Urban","HighCu",46.968376961612
"Urban","HighCu",41.439655895016
"Urban","HighCu",50.6401745444761
"Urban","HighCu",50.1715696684393
"Urban","HighCu",48.6595580407815
"Urban","HighCu",50.3696117220023
"Urban","HighCu",47.3100182997673
"Urban","HighCu",45.5444925521168
"Urban","HighCu",49.4992024718569
"Urban","HighCu",48.4775770442581
"Urban","HighCu",49.627879284533
"Urban","HighCu",47.5300648374518
"Urban","HighCu",49.3163799619279
"Urban","HighCu",52.4636117856887
"Urban","HighCu",48.1804952933863
"Rural","LowCu",52.4529613962031
"Rural","LowCu",62.0190791716219
"Rural","LowCu",54.6363911433778
"Rural","LowCu",49.1493778868271
"Rural","LowCu",56.6161344709256
"Rural","LowCu",60.0805444504842
"Rural","LowCu",52.6270953384932
"Rural","LowCu",51.7742181997369
"Rural","LowCu",53.1763746328844
"Rural","LowCu",57.2632049817665
"Rural","LowCu",56.3604281875456
"Rural","LowCu",54.6296989586612
"Rural","LowCu",52.7107095331487
"Rural","LowCu",55.6848102641638
"Rural","LowCu",58.3583857494113
"Rural","LowCu",55.469719550883
"Rural","LowCu",52.9336835977529
"Rural","LowCu",56.358848812449
"Rural","LowCu",51.7973600498501
"Rural","LowCu",56.2046954462336
"Rural","LowCu",54.8056789272182
"Rural","LowCu",55.9464888703014
"Rural","LowCu",53.1829553360063
"Rural","LowCu",52.2772459252541
"Rural","LowCu",61.7848269273463
"Rural","LowCu",53.1903198754021
"Rural","LowCu",51.1064137131781
"Rural","LowCu",56.5193536082915
"Rural","LowCu",52.439997212834
"Rural","LowCu",50.4819046319545
"Rural","HighCu",57.6069866981775
"Rural","HighCu",50.9164038428259
"Rural","HighCu",56.8148098733551
"Rural","HighCu",52.3705360247591
"Rural","HighCu",55.5392853751814
"Rural","HighCu",52.9422273524419
"Rural","HighCu",57.9795998598152
"Rural","HighCu",50.5795444578745
"Rural","HighCu",58.239329813878
"Rural","HighCu",52.1934636484339
"Rural","HighCu",52.6749941434166
"Rural","HighCu",54.7309163189453
"Rural","HighCu",55.7903434546562
"Rural","HighCu",53.6398778580629
"Rural","HighCu",47.7907695712797
"Rural","HighCu",55.7568767560208
"Rural","HighCu",55.4681742608842
"Rural","HighCu",50.9802111174278
"Rural","HighCu",57.8089598724212
"Rural","HighCu",57.3717471637273
"Rural","HighCu",56.5274512894061
"Rural","HighCu",58.8618289565057
"Rural","HighCu",55.3429975272469
"Rural","HighCu",47.1032836909087
"Rural","HighCu",53.7625090326558
"Rural","HighCu",52.4308067508299
"Rural","HighCu",52.747260791462
"Rural","HighCu",54.9146334134331
"Rural","HighCu",53.9058778351384
"Rural","HighCu",54.3153739496203
